credential_id,credential_name,client_id,client_name,markup_modifier,bod_from,bod_to,cid_from,cid_to,dynamic
34044,TKT TRAVEL,1770,TKT Travel,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33589,Dida Travel B2B|TPS Singapore,1696,DIDATRAVEL TECHNOLOGY SINGAPORE,0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33592,Dida Travel Sensitive Retail Singapore,1696,DIDATRAVEL TECHNOLOGY SINGAPORE,0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33591,Dida Travel B2C|DIR Singapore,1696,DIDATRAVEL TECHNOLOGY SINGAPORE,0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33146,Bedsopia,1618,Bedsopia,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
33148,Bedsopia Retail,1618,Bedsopia,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
33147,Bedsopia B2C,1618,Bedsopia,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
34045,Prestigia Organic,1521,PRESTIGIA,-0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
31318,Prestigia,1521,PRESTIGIA,-0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
32713,Prestigia B2B,1521,PRESTIGIA,-0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33253,Itrip_Retail,1505,ITRIP LLC,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
33960,Itrip_Sensitive,1505,ITRIP LLC,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
31191,ITRIP LLC,1505,ITRIP LLC,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
30933,Xiangdo,1491,"HONGKONG YONGZHENG TECHNOLOGY CO.,LIMITED",0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34463,Xiangdo - B2B CUG,1491,"HONGKONG YONGZHENG TECHNOLOGY CO.,LIMITED",0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
31083,Findhotel-Loyalty,1437,FindHotel,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33182,FindHotel LM,1437,FindHotel,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
21217,FindHotel CUG,1437,FindHotel,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
21950,Findhotel_B2C,1437,FindHotel,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
12065,MITIKA TOUR OPERADOR,909,MITIKA TOUR OPERADOR,0.4,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11055,TUI Deutschland GmbH,906,TUI DEU,0.1,All,All,All,All,FALSE
33990,Logística Viajes y Bodas (MX),884,Logística Viajes,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34209,LOGÍSTICA VIAJES (ES),884,Logística Viajes,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11896,Sembo,871,Sembo,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34193,Sembo B2B,871,Sembo,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34194,Sembo Retail,871,Sembo,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33989,Record Vacation (MX),803,Record Vacation,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
10945,Akbar Online Booking Co Pvt Ltd,733,Akbar Online Booking Co Pvt Ltd,0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
32902,Akbarnew_India,733,Akbar Online Booking Co Pvt Ltd,0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
8456,ATRAPALO,558,Atrapalo,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
10206,ATRAPALO MOBILE+CUG,558,Atrapalo,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
21985,Destination Italia B2C,518,Destination Italia,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
8357,Destination Italia,518,Destination Italia,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
21984,Destination Italia WEB,518,Destination Italia,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
8330,E-HTL  RESERVAS  ONLINE  DE  HOTEIS,509,E-htl,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34087,E-HTL Brasil - Infotera,509,E-htl,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
30981,GRN_SEN,322,GRNCONNECT,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
6170,GRNCONNECT,322,GRNCONNECT,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11212,GRN-CUG,322,GRNCONNECT,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
8709,Go Global Travel SH,310,Go Global Travel LTD,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34693,Hpro_B2C,310,Go Global Travel LTD,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
6009,Go Global Travel,310,Go Global Travel LTD,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34694,Hpro_B2B,310,Go Global Travel LTD,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
34695,Hpro_Retail,310,Go Global Travel LTD,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
12034,Go Global_XML ,310,Go Global Travel LTD,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34862,LASTMINUTE.COM GROUP PACKAGE,306,lastminute.com Group,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4224,Lastminute.com Group B2C,306,lastminute.com Group,0.1,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11404,Gattinoni_TC,288,Gattinoni,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5848,GATTINONI MONDO DI VACANZE,288,Gattinoni,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33937,NITES TRAVEL (ES),279,Nites,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5787,Nites travel,279,Nites,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34509,Opentours Retail,271,Opentours,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5375,XML Opentours,271,Opentours,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11807,We Love direct2,269,We Love Holidays,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5318,We Love Holidays,269,We Love Holidays,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5786,OSTROVOK  Retail,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
20670,Ostrovok Mobile App ,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
20669,OSTROVOK METASEARCH,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
21172,OSTROVOK B2B TPS,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33678,Ostrovok_CUG,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5462,OSTROVOK  B2C Dir,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5304,OSTROVOK B2B Dir,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
20776,OSTROVOK METASEARCH TPP,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
20791,OSTROVOK B2C TPP,262,Ostrovok,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
