credential_id,credential_name,dynamic_commission,client_id,client_name,action_pct
10205,MARSOL,TRUE,1789,Grupo Avoris,-0.5
20689,Welcomebeds retail GTC,TRUE,1789,Grupo Avoris,-0.5
20690,Welcomebeds retail GBT,TRUE,1789,Grupo Avoris,-0.5
3610,"TRAVELSENS,SL.",TRUE,1789,Grupo Avoris,-0.5
3612,ALISIOS TOURS SL,TRUE,1789,Grupo Avoris,-0.5
4368,Welcomebeds GTC,TRUE,1789,Grupo Avoris,-0.5
4369,Welcomebeds GBT,TRUE,1789,Grupo Avoris,-0.5
5141,Welcomebeds GBT XML,TRUE,1789,Grupo Avoris,-0.5
5142,Welcomebeds GTC XML,TRUE,1789,Grupo Avoris,-0.5
9824,ALISIOS B2C,TRUE,1789,Grupo Avoris,-0.5
34044,TKT TRAVEL,TRUE,1770,TKT Travel,0.2
35009,TKT TRAVEL API,TRUE,1770,TKT Travel,0.2
33874,DELFOS OPERADOR MAYORISTA,TRUE,1726,DELFOS OPERADOR MAYORISTA,0.1
22077,PerfectStay,TRUE,1465,PerfectStay,-0.5
12034,Go Global_B2B,TRUE,310,Go Global Travel LTD,-0.25
34693,Hpro_B2C,FALSE,310,Go Global Travel LTD,-0.25
34694,Hpro_B2B,FALSE,310,Go Global Travel LTD,-0.25
34695,Hpro_Retail,FALSE,310,Go Global Travel LTD,-0.25
6009,Go Global Travel,TRUE,310,Go Global Travel LTD,-0.25
8709,Go Global Travel SH,TRUE,310,Go Global Travel LTD,-0.25
34862,LASTMINUTE.COM GROUP PACKAGE,TRUE,306,lastminute.com Group,-0.25
4224,Lastminute.com Group B2C,TRUE,306,lastminute.com Group,-0.25
33937,NITES TRAVEL (ES),TRUE,279,Nites,0.1
20669,OSTROVOK METASEARCH,TRUE,262,Ostrovok,-0.5
20670,Ostrovok Mobile App ,FALSE,262,Ostrovok,-0.5
20776,OSTROVOK METASEARCH TPP,TRUE,262,Ostrovok,-0.5
20791,OSTROVOK B2C TPP,TRUE,262,Ostrovok,-0.5
21172,OSTROVOK B2B TPS,TRUE,262,Ostrovok,-0.5
33678,Ostrovok_CUG,TRUE,262,Ostrovok,-0.5
34984,Ostrovok_DirectopenCache,TRUE,262,Ostrovok,-0.5
5304,OSTROVOK B2B Dir,TRUE,262,Ostrovok,-0.5
5462,OSTROVOK  B2C Dir,TRUE,262,Ostrovok,-0.5
5786,OSTROVOK  Retail,FALSE,262,Ostrovok,-0.5
33886,AMERICAN EXECUTIVE INTERNATIONAL (UAE),TRUE,208,American Executive,0.2
33902,AMERICAN EXECUTIVE INTERNATIONAL WEB (UAE),TRUE,208,American Executive,0.2
11730,QUEHOT,TRUE,163,Veturis,-0.5
11731,VETURIS B2BXML-H,TRUE,163,Veturis,-0.5
11732,VETURIS B2BXML-L,TRUE,163,Veturis,-0.5
3713,Veturis Retail,TRUE,163,Veturis,-0.5
6015,Veturis B2C,TRUE,163,Veturis,-0.5
11653,HOTELBEDS DC,TRUE,150,Hotelbeds,-0.5
11655,HOTELBEDS TPS,TRUE,150,Hotelbeds,-0.5
11656,HOTELBEDS SENSITIVE,TRUE,150,Hotelbeds,-0.5
33420,TBO_XML,FALSE,136,TBO Holidays,0.5
3975,TBO Holidays,FALSE,136,TBO Holidays,0.5
