credential_id,credential_name,client_id,client_name,dynamic_commission,action
34060,Planet travel,1775,Planet Travel LATAM,TRUE,0.2
35005,PLANET TRAVEL API,1775,Planet Travel LATAM,TRUE,0.2
34055,Ricale Viajes,1774,Ricale Viajes,TRUE,0.2
33958,Organización Piamonte,1753,Organización Piamonte,TRUE,0.2
33833,Agenda Events and Conferences LLC,1716,Agenda Events and Conferences LLC,FALSE,-0.5
34179,TURIVEL (ES),1698,Turivel,TRUE,-0.5
33589,Dida Travel B2B|TPS Singapore,1696,DIDATRAVEL TECHNOLOGY SINGAPORE,TRUE,-0.5
33591,Dida Travel B2B|DIR Singapore,1696,DIDATRAVEL TECHNOLOGY SINGAPORE,TRUE,-0.5
33592,Dida Travel Sensitive Retail Singapore,1696,DIDATRAVEL TECHNOLOGY SINGAPORE,TRUE,-0.5
33491,3 Full Steps,1671,3 FULL STEPS ,TRUE,-0.5
34186,3 Full Steps B2C,1671,3 FULL STEPS ,TRUE,-0.5
34187,3 Full Steps Retail,1671,3 FULL STEPS ,TRUE,-0.5
33407,Via Holiday,1662,Via Holiday,TRUE,-0.5
33367,AD TURISMO,1657,AD TURISMO,TRUE,0.1
33275,Adventures Kuwait,1639,Adventures Kuwait,FALSE,-0.5
34298,ADVENTURES KUWAIT TCT,1639,Adventures Kuwait,FALSE,-0.5
33143,Amadeus B2B,1617,AMADEUS,TRUE,-0.25
33144,Amadeus B2C,1617,AMADEUS,TRUE,-0.25
32715,NAUTALIA VIAJES TEST,1555,NAUTALIA VIAJES,TRUE,-0.5
32867,Nautalia_232_cadiz,1555,NAUTALIA VIAJES,TRUE,-0.5
32876,Nautalia_217_Algeciras,1555,NAUTALIA VIAJES,TRUE,-0.5
32877,Nautalia_229_Jerez,1555,NAUTALIA VIAJES,TRUE,-0.5
32878,Nautalia_220_Cordoba,1555,NAUTALIA VIAJES,TRUE,-0.5
32879,Nautalia_218_Granada,1555,NAUTALIA VIAJES,TRUE,-0.5
32885,Nautalia_341_Palma,1555,NAUTALIA VIAJES,TRUE,-0.5
32886,Nautalia_116_Basauri,1555,NAUTALIA VIAJES,TRUE,-0.5
32887,Nautalia_125_LasArenas,1555,NAUTALIA VIAJES,TRUE,-0.5
32888,Nautalia_214_Huelva,1555,NAUTALIA VIAJES,TRUE,-0.5
32889,Nautalia_219_Jaen,1555,NAUTALIA VIAJES,TRUE,-0.5
32892,Nautalia_233_Malaga,1555,NAUTALIA VIAJES,TRUE,-0.5
32895,Nautalia_747_Mijas,1555,NAUTALIA VIAJES,TRUE,-0.5
32896,Nautalia_212_Sevilla,1555,NAUTALIA VIAJES,TRUE,-0.5
32897,Nautalia_143_Bilbao,1555,NAUTALIA VIAJES,TRUE,-0.5
32898,Nautalia_120_Bilbao,1555,NAUTALIA VIAJES,TRUE,-0.5
