client_id,client_name,credential_id,name,enabled,application,markup,dynamic_commission,action_to_be_applied_(to_base),markup_after_action
691,Nexus,34487,Nexus B2C (Barbados) (ES),TRUE,traveltinohoteles,4,TRUE,0.3,4.3
695,TTH Travel Limited,34833,TTH_OtramsGO,TRUE,smyroomsae,3,TRUE,0.3,3.3
158,Altura,11127,Altura Paquete,TRUE,traveltinohoteles,4.5,TRUE,0.3,4.8
1671,3 FULL STEPS,34187,3 Full Steps Retail,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
1644,Eastern Travel and Tours,33287,Eastern Travel and Tours,TRUE,smyroomsae,3.5,TRUE,0.3,3.8
1521,PRESTIGIA,31318,Prestigia,TRUE,smyroomsae,5,TRUE,0.3,5.3
1552,TRIP JACK,32703,TRIP JACK,TRUE,smyroomsae,4,TRUE,0.3,4.3
295,24x7 Rooms,33548,24x7 Rooms HotelX,TRUE,smyroomsae,8,FALSE,0.3,8.3
310,Go Global Travel LTD,6009,Go Global Travel,TRUE,traveltinohoteles,5.25,TRUE,0.3,5.55
332,Easy Market,11628,Easymarket_XTG,TRUE,smyroomsae,4.75,TRUE,0.2,4.95
332,Easy Market,11901,Easymarket_B2C,TRUE,smyroomsae,4.75,TRUE,0.2,4.95
1639,Adventures Kuwait,33275,Adventures Kuwait,TRUE,smyroomsae,2.5,FALSE,0.3,2.8
1764,BOOKOPRO,34020,BOOKOPRO,TRUE,smyroomsae,10,TRUE,0.3,10.3
1639,Adventures Kuwait,34298,ADVENTURES KUWAIT TCT,TRUE,smyroomsae,2.5,FALSE,0.3,2.8
820,Forerez,11406,Forerez Comapny wll kuwait,TRUE,smyroomsae,2.5,TRUE,0.3,2.8
1651,Ostrovok UAE,33327,Ostrovok UAE B2B,TRUE,smyroomsae,5,TRUE,0.3,5.3
1764,BOOKOPRO,34041,BOOKOPRO_Retail,TRUE,smyroomsae,10,TRUE,0.3,10.3
1764,BOOKOPRO,34052,BOOKOPRO_B2C,TRUE,smyroomsae,10,TRUE,0.3,10.3
126,Destinations Of The World,30712,Destinations of the World WH Retail,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
126,Destinations Of The World,4875,Destinations Of The World AE,FALSE,smyroomsae,6,TRUE,0.3,6.3
814,Almosafer International Travel and Tourism,20702,Almosafer B2C,TRUE,smyroomsae,3.5,TRUE,0.3,3.8
879,Meituan,34847,MEITUAN_B2B,TRUE,smyroomsae,3,TRUE,0.2,3.2
254,Nirvana,34311,Nirvana_DP,TRUE,smyroomsae,4.25,TRUE,0.3,4.55
262,Ostrovok,20670,Ostrovok Mobile App ,TRUE,smyroomsae,5,FALSE,0.3,5.3
399,Fliggy,33897,Fliggy_B2B (Don´t use),FALSE,smyroomsae,3.5,FALSE,0.2,3.7
322,GRNCONNECT,34846,GRN-TEST,TRUE,smyroomsae,4.2,TRUE,0.3,4.5
1932,Hojuzat.com,34835,Hojuzat.com,TRUE,smyroomsae,4,TRUE,0.3,4.3
535,Hikari,34843,Hikari_B2C,TRUE,smyroomsae,3.5,TRUE,0.2,3.7
1446,PEAKPOINT,21531,Peakpoint_web,TRUE,smyroomsae,3.5,FALSE,0.3,3.8
1796,TRIPATHON,34147,TRIPATHON,TRUE,smyroomsae,2.5,TRUE,0.3,2.8
1712,VASDREAM.COM,33684,VASDREAM.COM,TRUE,smyroomsae,4,TRUE,0.3,4.3
754,IXPIRA,11015,IXPIRA Web,TRUE,smyroomsae,8,TRUE,0.2,8.2
126,Destinations Of The World,30715,Destinations of the World WH B2C,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
814,Almosafer International Travel and Tourism,11357,Seera B2B,FALSE,smyroomsae,2.5,TRUE,0.3,2.8
1478,KEY OF THE WORLD TOURISM,30747,KEY OF THE WORLD TOURISM,TRUE,smyroomsae,3,TRUE,0.3,3.3
200,LCI-MTC,4919,LCI-MTC B2B,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
200,LCI-MTC,9832,LCI-MTC Sensitive,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1555,NAUTALIA VIAJES,33036,Nautalia_766_LasRozas,FALSE,traveltinohoteles,5,TRUE,0.3,5.3
1927,A LUGARES Y DESTINOS,34803,A LUGARES Y DESTINOS,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
875,Sembo,34844,Sembo Meta,TRUE,smyroomsae,4,TRUE,0.3,4.3
254,Nirvana,5227,NIRVANA OVER THE WORLD LLC (N.O.W.),TRUE,smyroomsae,4.25,TRUE,0.3,4.55
1796,TRIPATHON,34826,Tripathon_B2B,TRUE,smyroomsae,2.5,TRUE,0.3,2.8
1618,Bedsopia,33147,Bedsopia B2C,TRUE,smyroomsae,3,FALSE,0.3,3.3
1489,Bookingagora,34201,BookingAgora_Retail,TRUE,smyroomsae,3.5,FALSE,0.3,3.8
867,TOURMIND,34832,TOURMIND B2B - API Direct,TRUE,smyroomsae,3.5,TRUE,0.2,3.7
1555,NAUTALIA VIAJES,34764,Nautalia_891_OUTPLANT UNIVERSIDAD ALCALÁ DE HENARES,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
518,Destination Italia,21985,Destination Italia B2C,TRUE,smyroomsae,4,TRUE,0.2,4.2
1424,Evolution Travel,21153,Evolution Travel,TRUE,smyroomsae,5,TRUE,0.3,5.3
298,Karavel,11196,Karavel_Flatfile,FALSE,smyroomsae,4.5,FALSE,0.3,4.8
1555,NAUTALIA VIAJES,33102,Nautalia_816_BTCPamplona,FALSE,traveltinohoteles,5,TRUE,0.3,5.3
1520,One Up Travel,31412,One Up Travel - Web ,FALSE,smyroomsae,4.7,TRUE,0.2,4.9
1520,One Up Travel,31413,One Up Travel - B2C,FALSE,smyroomsae,4.7,TRUE,0.2,4.9
1484,Smile Holidays,31393,Smile Holidays TCT,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
1762,Hirondelle (ES),34010,Hirondelle (ES),TRUE,traveltinohoteles,3.5,TRUE,0.3,3.8
1918,Top Dest,34758,Top Dest,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1474,AIRTICKET GROUP,30710,AIRTICKET GROUP,TRUE,smyroomsae,5,TRUE,0.3,5.3
403,Dnata,34065,New DNATA B2B,TRUE,smyroomsae,4,TRUE,0.3,4.3
403,Dnata,34066,New DNATA UK Sensitive,TRUE,smyroomsae,4,TRUE,0.3,4.3
1916,Hashnap,34754,Hashnap_B2C,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1916,Hashnap,34755,Hashnap_B2B,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1671,3 FULL STEPS,34186,3 Full Steps B2C,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
185,Travel Up,7785,Travel Up Hotels - Call Centre,TRUE,traveltinohoteles,4.4,TRUE,0.3,4.7
185,Travel Up,9806,Travel Up - CUG,TRUE,traveltinohoteles,3.7,TRUE,0.3,4
1916,Hashnap,34756,Hashnap_RETAIL,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1768,ARENA TOURIST,34035,ARENA TOURIST,TRUE,traveltinohoteles,4.5,TRUE,0.3,4.8
1629,Travellanda.,33206,Travellanda- B2B,TRUE,smyroomsae,5,TRUE,0.3,5.3
1629,Travellanda.,33208,Travellanda web B2B,TRUE,smyroomsae,5,TRUE,0.3,5.3
1920,Business Travel Bureau LLC,34770,Business Travel Bureau LLC,TRUE,smyroomsae,4,FALSE,0.3,4.3
298,Karavel,34706,Karavel Travelgate,FALSE,smyroomsae,4.5,TRUE,0.3,4.8
1555,NAUTALIA VIAJES,34468,Nautalia_888_INPLANT ABEX,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1901,BRIDGE TRAVEL SERVICES CLICNGO,34660,BRIDGE TRAVEL SERVICES CLICNGO,TRUE,smyroomsae,4,FALSE,0.3,4.3
1861,We Love To Travel,34711,We Love to Travel Sensitive,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1897,Tripnas,34646,Tripnas,TRUE,smyroomsae,4,TRUE,0.3,4.3
1555,NAUTALIA VIAJES,34655,Nautalia_889 - OUTPLANT KNAPP,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,34656,Nautalia_890 - INPLANT ALTRA,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1808,HK CHANGYOU INTERNATIONAL,34654,HK CHANGYOU INTERNATIONAL BUSINESS - B2B2C,TRUE,smyroomsae,4,TRUE,0.2,4.2
288,Gattinoni,11404,Gattinoni_TC,TRUE,traveltinohoteles,3.5,TRUE,0.3,3.8
1861,We Love To Travel,34422,We Love to Travel,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1555,NAUTALIA VIAJES,34473,Nautalia_678_MAHONIA,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1488,G2 TRAVEL (FIT) LIMITED,34542,G2 Travel - B2B Retail,TRUE,smyroomsae,4.25,TRUE,0.3,4.55
1861,We Love To Travel,34466,We Love To Travel Wholesale,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1873,TravelBullz,34461,TravelBullz,TRUE,smyroomsae,4,TRUE,0.3,4.3
399,Fliggy,33896,Fliggy_B2B (Don´t use),FALSE,smyroomsae,3.5,FALSE,0.2,3.7
691,Nexus,34614,Nexus B2B PACKAGE RATES (Barbados) (ES),TRUE,traveltinohoteles,4,TRUE,0.3,4.3
338,Stayforlong,33284,Stayforlong Web,TRUE,traveltinohoteles,6,TRUE,0.3,6.3
310,Go Global Travel LTD,34694,Hpro_B2B,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
165,World2Meet,34505,W2M_RET&PCK,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1894,BWT Operadora,34615,BWT OPERADORA,TRUE,traveltinohoteles,3.8,TRUE,0.3,4.1
1406,CN Travel,34680,CN Travel Travelgate,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1785,Book & Travel,34469,Book & Travel_Retail,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1890,Eturia,34618,Eturia (TGX),TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1488,G2 TRAVEL (FIT) LIMITED,34543,G2 Travel - B2B2C OTA,TRUE,smyroomsae,4.25,TRUE,0.3,4.55
186,Nuitee,4982,Nuitee Travel B2C,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
185,Travel Up,4321,Travel Up Hotels,TRUE,traveltinohoteles,4.2,TRUE,0.3,4.5
1873,TravelBullz,34510,Travelbullz_Retail,TRUE,smyroomsae,4,TRUE,0.3,4.3
310,Go Global Travel LTD,34695,Hpro_Retail,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
310,Go Global Travel LTD,34693,Hpro_B2C,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1890,Eturia,34506,Eturia (TC),TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1904,B.D.GRAIVER TOURISM SERVICES LTD,34697,B.D.GRAIVER TOURISM SERVICES LTD,TRUE,smyroomsae,4,TRUE,0.3,4.3
1898,Suntrips,34642,Suntrips,TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1712,VASDREAM.COM,34641,VasDream_TravelCompositor,TRUE,smyroomsae,4,TRUE,0.3,4.3
691,Nexus,34486,Nexus (Barbados) (ES),TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1860,DREAM & TRAVEL,34419,DREAM & TRAVEL,TRUE,traveltinohoteles,3.5,TRUE,0.3,3.8
1875,THE BUNDLE GROUP,34460,THE BUNDLE GROUP,TRUE,traveltinohoteles,3.5,TRUE,0.3,3.8
1555,NAUTALIA VIAJES,34467,Nautalia_799_Alava,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1461,BM Tours,34174,BM Tours (ES),TRUE,traveltinohoteles,4,FALSE,0.3,4.3
1440,Mapadinamics,21243,Mapadinamics,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
814,Almosafer International Travel and Tourism,11358,Seera B2C,FALSE,smyroomsae,2.5,TRUE,0.3,2.8
1400,Cosmobeds,34030,Cosmobeds_B2C,TRUE,smyroomsae,3.5,TRUE,0.3,3.8
1753,Organización Piamonte,33958,Organización Piamonte,TRUE,traveltinohoteles,4.5,TRUE,0.3,4.8
1674,Orinter Tour and Travel,33500,Orinter Tour and Travel,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
529,Pezzati Viajes,8414,Pezzati Viajes,TRUE,traveltinohoteles,4.7,TRUE,0.3,5
262,Ostrovok,20669,OSTROVOK METASEARCH,TRUE,smyroomsae,5,TRUE,0.3,5.3
162,Traventia,4506,Traventia,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
262,Ostrovok,21172,OSTROVOK B2B TPS,TRUE,smyroomsae,5,TRUE,0.3,5.3
262,Ostrovok,33678,Ostrovok_CUG,TRUE,smyroomsae,5,TRUE,0.3,5.3
695,TTH Travel Limited,10882,TTH Travel Limited - Atharva,FALSE,smyroomsae,3.5,FALSE,0.3,3.8
910,EASYDREAM (ES),12082,EASY DREAM (ES),TRUE,traveltinohoteles,5,TRUE,0.3,5.3
695,TTH Travel Limited,10142,TTH Travel Limited,TRUE,smyroomsae,3,TRUE,0.3,3.3
166,Sololé,4174,Sololé,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1412,Bookaris,21008,Bookaris,TRUE,traveltinohoteles,6,TRUE,0.3,6.3
1398,B2BHOLIDAYS,30988,B2BHolidays_B2C,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
1569,Saltours International Ltd,32792,Saltours International Ltd,FALSE,smyroomsae,3.5,FALSE,0.3,3.8
856,CENTRALDEVACACIONES.COM,33233,CENTRALDEVACACIONES.COM PACKAGE,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
856,CENTRALDEVACACIONES.COM,11753,CENTRALDEVACACIONES.COM,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1529,RATONVIAJERO,33246,CholloVacaciones.com,TRUE,traveltinohoteles,6,TRUE,0.3,6.3
322,GRNCONNECT,30981,GRN_SEN,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
155,Abreu,11156,ABREU RETAIL,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1789,Grupo Avoris,3610,"TRAVELSENS,SL.",TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1789,Grupo Avoris,20689,Welcomebeds retail GTC,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1657,AD TURISMO,33367,AD TURISMO,TRUE,traveltinohoteles,4.1,TRUE,0.3,4.4
1539,ELITE BOOKING,31546,ELITE BOOKING,TRUE,smyroomsae,3,TRUE,0.3,3.3
174,Jumbo,11409,Jumbobeds,TRUE,traveltinohoteles,3.5,TRUE,0.3,3.8
174,Jumbo,3761,Jumbo Tours,TRUE,traveltinohoteles,3.5,TRUE,0.3,3.8
1555,NAUTALIA VIAJES,32877,Nautalia_229_Jerez,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32886,Nautalia_116_Basauri,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32887,Nautalia_125_LasArenas,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32896,Nautalia_212_Sevilla,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32898,Nautalia_120_Bilbao,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32899,Nautalia_119_Bilbao,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1481,Rida International Tourism and Travel,32584,Rida International Prtc,TRUE,smyroomsae,3,FALSE,0.3,3.3
1555,NAUTALIA VIAJES,32900,Nautalia_211_Sevilla,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
126,Destinations Of The World,5047,Destinations Of The World AE XML,FALSE,smyroomsae,3.3,FALSE,0.3,3.6
298,Karavel,5905,Karavel,FALSE,traveltinohoteles,0,FALSE,0.3,0.3
288,Gattinoni,30635,GATTINONI_TC_B2C,FALSE,traveltinohoteles,4,TRUE,0.3,4.3
1555,NAUTALIA VIAJES,32901,Nautalia_137_Urretxu,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
314,Within Earth Holidays,6026,Within Earth Holidays.,FALSE,smyroomsae,2,FALSE,0.2,2.2
185,Travel Up,9807,Travel Up - Account 2,FALSE,traveltinohoteles,4,TRUE,0.3,4.3
322,GRNCONNECT,6170,GRNCONNECT,TRUE,smyroomsae,4.5,TRUE,0.3,4.8
1713,Travel Associates Wholesalers,33718,Travel Associates Wholesalers,TRUE,traveltinohoteles,4.5,TRUE,0.3,4.8
1789,Grupo Avoris,3612,ALISIOS TOURS SL,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
403,Dnata,34064,New DNATA B2C,TRUE,smyroomsae,4,TRUE,0.3,4.3
1555,NAUTALIA VIAJES,32903,Nautalia_234_Sevilla,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32904,Nautalia_777_Torremolinos,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32905,Nautalia_344_Huesca,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32907,Nautalia_343_Zaragoza,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32908,Nautalia_342_Zaragoza,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32912,Nautalia_330_Zaragoza,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32913,Nautalia_127_Eibar,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32915,Nautalia_334_Zaragoza,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32917,Nautalia_114_RenterÃ­a,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32919,Nautalia_317_Zaragoza,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32921,Nautalia_358_Valencia,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32922,Nautalia_528_Oviedo,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32926,Nautalia_535_Oviedo,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32927,Nautalia_524_Gijon,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1545,MakeMyTrip,32591,MakeMyTrip,TRUE,smyroomsae,3.5,TRUE,0.3,3.8
1521,PRESTIGIA,34045,Prestigia Organic,TRUE,smyroomsae,5,TRUE,0.3,5.3
