combination_zip,duplicate_ids
"(3585, 'BCONG', 800)",[16630]
"(3585, 'BCONG', 1796)",[16630]
"(3585, 'BCONG', 3751)",[16630]
"(3585, 'BCONG', 36031)",[16630]
"(3585, 'BCONG', 42177)",[16630]
"(3585, 'BCONG', 68062)",[16630]
"(3585, 'BCONG', 69061)",[16630]
"(3585, 'BCONG', 69655)",[16630]
"(3585, 'BCONG', 69657)",[16630]
"(3585, 'BCONG', 104906)",[16630]
"(3585, 'BCONG', 146674)",[16630]
"(3585, 'BCONG', 180874)",[16630]
"(3585, 'BCONG', 221223)",[16630]
"(3585, 'BCONG', 224201)",[16630]
"(3585, 'BCONG', 270753)",[16630]
"(3585, 'BCONG', 335777)",[16630]
"(3585, 'BCONG', 458780)",[16630]
"(3585, 'BCONG', 550441)",[16630]
"(3585, 'BCONG', 647852)",[16630]
"(3585, 'BCONG', 1258305)",[16630]
"(3585, 'BCONG', 1816300)",[16630]
"(3585, 'BCONG', 1816301)",[16630]
"(3585, 'BCONG', 1822996)",[16630]
"(3585, 'BCONG', 2515773)",[16630]
"(3585, 'BCONG', 3459673)",[16630]
"(3585, 'BCONG', 3459674)",[16630]
"(3585, 'BCONG', 3759243)",[16630]
"(3585, 'DIN', 800)",[16630]
"(3585, 'DIN', 1796)",[16630]
"(3585, 'DIN', 3751)",[16630]
"(3585, 'DIN', 36031)",[16630]
"(3585, 'DIN', 42177)",[16630]
"(3585, 'DIN', 68062)",[16630]
"(3585, 'DIN', 69061)",[16630]
"(3585, 'DIN', 69655)",[16630]
"(3585, 'DIN', 69657)",[16630]
"(3585, 'DIN', 104906)",[16630]
"(3585, 'DIN', 146674)",[16630]
"(3585, 'DIN', 180874)",[16630]
"(3585, 'DIN', 221223)",[16630]
"(3585, 'DIN', 224201)",[16630]
"(3585, 'DIN', 270753)",[16630]
"(3585, 'DIN', 335777)",[16630]
"(3585, 'DIN', 458780)",[16630]
"(3585, 'DIN', 550441)",[16630]
"(3585, 'DIN', 647852)",[16630]
"(3585, 'DIN', 1258305)",[16630]
"(3585, 'DIN', 1816300)",[16630]
"(3585, 'DIN', 1816301)",[16630]
"(3585, 'DIN', 1822996)",[16630]
"(3585, 'DIN', 2515773)",[16630]
"(3585, 'DIN', 3459673)",[16630]
"(3585, 'DIN', 3459674)",[16630]
"(3585, 'DIN', 3759243)",[16630]
"(3585, 'DIN2', 800)",[16630]
"(3585, 'DIN2', 1796)",[16630]
